Model,Accuracy,Precision,Recall,F1-Score,Time (s)
XGBoost,0.49944274171078296,0.4977007046903254,0.49944274171078296,0.4904331536374981,209.3051679134369
KNN,0.46712176093619395,0.46503335001861945,0.46712176093619395,0.45048975854156975,0.029925823211669922
Random Forest,0.4632209529116746,0.4774303293761746,0.4632209529116746,0.44021278125112434,109.39791440963745
MLP (Neural Net),0.45653385344106995,0.45729140679408875,0.45653385344106995,0.45650883002738735,280.1597719192505
SVM,0.4446921147952076,0.43131591804324904,0.4446921147952076,0.4332573079216945,8946.370665311813
Logistic Regression,0.4409306213429925,0.42164045820980356,0.4409306213429925,0.4256396487801506,36.940953493118286
Decision Tree,0.3265533574811925,0.32787055009983557,0.3265533574811925,0.32698589044859105,50.446446657180786
